"hgroup","genesymbol_source","genesymbol_target"
5540,"Ak6","AK6"
5553,"Slc25a38","SLC25A38"
5555,"Nup107","NUP107"
5561,"Osgepl1","OSGEPL1"
5563,"Zmat2","ZMAT2"
5568,"Rpl13","RPL13"
5568,"Gm10071","RPL13"
5571,"Rnf20","RNF20"
5574,"Ube2i","UBE2I"
5576,"Tsr1","TSR1"
5578,"Gmppb","GMPPB"
5588,"Rpusd2","RPUSD2"
5589,"Trmu","TRMU"
5590,"Ddx54","DDX54"
5593,"Gpd1","GPD1"
5602,"Eif4a3","EIF4A3"
5605,"Vps54","VPS54"
5607,"Hibch","HIBCH"
5610,"Polr3k","POLR3K"
5621,"Rrp8","RRP8"
5632,"Trmt1","TRMT1"
5637,"N6amt1","N6AMT1"
5650,"Scfd1","SCFD1"
5652,"Dcakd","DCAKD"
5656,"Tcp1","TCP1"
5664,"Copb1","COPB1"
5666,"Idnk","IDNK"
5668,"Rmnd5a","RMND5A"
5671,"Pex10","PEX10"
5672,"Zfp598","ZNF598"
5673,"Wars2","WARS2"
5675,"Rmnd1","RMND1"
5690,"Ppan","PPAN"
5701,"Tcf25","TCF25"
5706,"Fcf1","FCF1"
5707,"Rars2","RARS2"
5716,"Cdc40","CDC40"
5717,"Esf1","ESF1"
5719,"Ncs1","NCS1"
5725,"Mus81","MUS81"
5735,"Icmt","ICMT"
5738,"Xab2","XAB2"
5742,"Pitrm1","PITRM1"
5745,"Slc35f5","SLC35F5"
5754,"Trappc5","TRAPPC5"
5756,"Vps52","VPS52"
5757,"Chmp5","CHMP5"
5759,"Gins4","GINS4"
5762,"D19Bwg1357e","KIAA0020"
5775,"Slc38a11","SLC38A11"
5781,"Naa35","NAA35"
5782,"Lace1","LACE1"
5783,"Atp6v1d","ATP6V1D"
5790,"Enoph1","ENOPH1"
5791,"Atp13a1","ATP13A1"
5794,"Hacl1","HACL1"
5799,"Slc35b4","SLC35B4"
5803,"Mcts1","MCTS1"
5812,"Msra","MSRA"
5813,"Fign","FIGN"
5820,"Oxsm","OXSM"
5830,"Pars2","PARS2"
5835,"Ipo4","IPO4"
5844,"Nsa2","NSA2"
5846,"Mdp1","MDP1"
5848,"Cox15","COX15"
5853,"Myg1","C12orf10"
5854,"Cog3","COG3"
5857,"Pabpc5","PABPC5"
5859,"Snrnp200","SNRNP200"
5865,"Adhfe1","ADHFE1"
5870,"Eprs","EPRS"
5874,"Ipo9","IPO9"
5876,"Mto1","MTO1"
5878,"Thumpd1","THUMPD1"
5879,"Emc4","EMC4"
5881,"Nif3l1","NIF3L1"
5883,"Kif17","KIF17"
5884,"Wdr61","WDR61"
5887,"Gcn1l1","GCN1L1"
5890,"Mnd1","MND1"
5891,"Ulk2","ULK2"
5894,"Xrn1","XRN1"
5898,"Yipf1","YIPF1"
5905,"Mtrf1l","MTRF1L"
5907,"Ftsj2","FTSJ2"
5917,"Lsg1","LSG1"
5918,"Pan2","PAN2"
5930,"Alg2","ALG2"
5931,"Pus1","PUS1"
5932,"Cnih4","CNIH4"
5940,"Psmc3ip","PSMC3IP"
5951,"Nsdhl","NSDHL"
5952,"N6amt2","N6AMT2"
5959,"Thg1l","THG1L"
5960,"Atad1","ATAD1"
5961,"Abhd11","ABHD11"
5969,"Eif2a","EIF2A"
5970,"Pfas","PFAS"
5971,"Gid4","GID4"
5976,"Eif2b4","EIF2B4"
5980,"Prpf31","PRPF31"
5981,"Exosc5","EXOSC5"
5982,"Slc25a19","SLC25A19"
5984,"Pes1","PES1"
5993,"Syf2","SYF2"
5998,"Nol10","NOL10"
6009,"Mars2","MARS2"
6017,"Exosc4","EXOSC4"
6019,"Elp2","ELP2"
6028,"Wdr45b","WDR45B"
6030,"Alg10b","ALG10"
6036,"Sdad1","SDAD1"
6037,"Pgls","PGLS"
6039,"Coq6","COQ6"
6040,"Slc25a40","SLC25A40"
6042,"2810408M09Rik","TP53RK"
6042,"Trp53rk","TP53RK"
6044,"Atad2","ATAD2"
6048,"Cwc22","CWC22"
6052,"Surf4","SURF4"
6056,"AI314180","KIAA0368"
6059,"Spo11","SPO11"
6064,"Otud6b","OTUD6B"
6073,"Sars2","SARS2"
6078,"Pmpca","PMPCA"
6081,"Aldh4a1","ALDH4A1"
6086,"Ovca2","OVCA2"
6092,"Ddx47","DDX47"
6095,"Exosc2","EXOSC2"
6096,"Trmt5","TRMT5"
6098,"Nadsyn1","NADSYN1"
6099,"Ppme1","PPME1"
6100,"Pptc7","PPTC7"
6101,"Upf2","UPF2"
6107,"Sept4","SEPT4"
6108,"Mocs3","MOCS3"
6110,"Dnpep","DNPEP"
6114,"Lsm12","LSM12"
6115,"Fam96b","FAM96B"
6120,"Imp3","IMP3"
6124,"Dna2","DNA2"
6127,"Nmd3","NMD3"
6131,"Tex261","TEX261"
6134,"Pigt","PIGT"
6135,"Ptrh1","PTRH1"
6143,"Smyd5","SMYD5"
6149,"Ppp2r4","PPP2R4"
6151,"Slc25a32","SLC25A32"
6170,"Diexf","DIEXF"
6173,"Ppcs","PPCS"
6175,"Mettl10","METTL10"
6182,"Cyb5r2","CYB5R2"
6202,"Allc","ALLC"
6221,"Vps35","VPS35"
6222,"Isyna1","ISYNA1"
6229,"Trmt61a","TRMT61A"
6238,"Gfm2","GFM2"
6243,"Pigw","PIGW"
6257,"Skiv2l2","SKIV2L2"
6262,"Adat2","ADAT2"
6264,"Vps53","VPS53"
6272,"Memo1","MEMO1"
6274,"Pigm","PIGM"
6275,"Denr","DENR"
6277,"Apip","APIP"
6280,"Hectd2","HECTD2"
6283,"Isy1","ISY1-RAB43"
6285,"Dtymk","DTYMK"
6287,"Cct5","CCT5"
6288,"Rfc4","RFC4"
6289,"Itpa","ITPA"
6290,"Dohh","DOHH"
6291,"Pemt","PEMT"
6303,"Vps25","VPS25"
6320,"Sacm1l","SACM1L"
6323,"Prkrip1","PRKRIP1"
6330,"Pign","PIGN"
6332,"Srprb","SRPRB"
6333,"Carkd","CARKD"
6337,"Polr3h","POLR3H"
6338,"Ltv1","LTV1"
6343,"Slc25a35","SLC25A35"
6347,"Kti12","KTI12"
6349,"Utp11l","UTP11L"
6350,"Ccdc94","CCDC94"
6356,"Dhx36","DHX36"
6368,"Chmp3","CHMP3"
6369,"Nfu1","NFU1"
6372,"Pan3","PAN3"
6377,"Prpf40a","PRPF40A"
6379,"Gm5633","MRTO4"
6379,"Mrto4","MRTO4"
6379,"Gm9178","MRTO4"
6382,"Chmp2a","CHMP2A"
6384,"Dnm1l","DNM1L"
6389,"Ddx31","DDX31"
6391,"Unc50","UNC50"
6395,"Osgep","OSGEP"
6396,"Tmem184b","TMEM184B"
6399,"Trappc3","TRAPPC3"
6403,"Elac2","ELAC2"
6404,"Rpf2","RPF2"
6406,"Dhx35","DHX35"
6421,"Prpf19","PRPF19"
6424,"Xpnpep1","XPNPEP1"
6430,"Dcaf13","DCAF13"
6431,"Ddx27","DDX27"
6438,"Sbds","SBDS"
6443,"Tmem97","TMEM97"
6447,"Rexo2","REXO2"
6449,"Gfm1","GFM1"
6451,"Actr6","ACTR6"
6460,"Cpsf2","CPSF2"
6462,"Crnkl1","CRNKL1"
6469,"Acss2","ACSS2"
6471,"Dph5","DPH5"
6473,"Vta1","VTA1"
6474,"Abcb10","ABCB10"
6477,"Coq9","COQ9"
6479,"Sec13","SEC13"
6487,"Gpn3","GPN3"
6488,"Metap1","METAP1"
6489,"Shprh","SHPRH"
6493,"Adck1","ADCK1"
6497,"Ncapd2","NCAPD2"
6498,"Ddx56","DDX56"
6499,"Cpsf3","CPSF3"
6505,"Guf1","GUF1"
6507,"Eif2b2","EIF2B2"
6517,"Rplp0","RPLP0"
6519,"Slc25a10","SLC25A10"
6520,"Nit2","NIT2"
6526,"Lars2","LARS2"
6528,"Vac14","VAC14"
6533,"Dus3l","DUS3L"
6535,"Dus4l","DUS4L"
6536,"Wdr36","WDR36"
6545,"Coro1a","CORO1A"
6548,"Lsm3","LSM3"
6553,"Pigu","PIGU"
6559,"Coq5","COQ5"
6564,"Asnsd1","ASNSD1"
6569,"Dus1l","DUS1L"
6574,"Ergic2","ERGIC2"
6578,"Hao1","HAO1"
6579,"Sf3b3","SF3B3"
6581,"Slc35c2","SLC35C2"
6585,"Ung","UNG"
6599,"Ube2g2","UBE2G2"
6600,"Gtpbp3","GTPBP3"
6607,"Immp2l","IMMP2L"
6612,"Bop1","BOP1"
6628,"Wdr1","WDR1"
6629,"Utp15","UTP15"
6636,"Hmces","HMCES"
6641,"Dhx37","DHX37"
6644,"Grwd1","GRWD1"
6645,"Ccdc25","CCDC25"
6659,"Wrn","WRN"
6668,"Usp27x","USP27X"
6673,"Vps11","VPS11"
6678,"Sf3b2","SF3B2"
6681,"Slc30a1","SLC30A1"
6693,"Pgm1","PGM2"
6696,"Sf3b1","SF3B1"
6697,"Ddx18","DDX18"
6699,"Qrsl1","QRSL1"
6700,"Filip1","FILIP1"
6704,"D2Wsu81e","C9orf114"
6713,"Fig4","FIG4"
6716,"Abhd13","ABHD13"
6730,"Rfc5","RFC5"
6741,"Pi4kb","PI4KB"
6747,"Mrpl46","MRPL46"
6750,"Narfl","NARFL"
6752,"Dnajc21","DNAJC21"
6754,"Ssu72","SSU72"
6756,"Alg9","ALG9"
6760,"Riok2","RIOK2"
6768,"Mrpl11","MRPL11"
6774,"Fahd1","FAHD1"
6779,"Zfand1","ZFAND1"
6781,"Lsm7","LSM7"
6785,"Nat10","NAT10"
6787,"Nmrk1","NMRK1"
6797,"Ddx5","DDX5"
6802,"Pola1","POLA1"
6804,"Ing3","ING3"
6806,"2410127L17Rik","C9orf41"
6814,"Dlat","DLAT"
6815,"Hemk1","HEMK1"
6816,"Trmt6","TRMT6"
6818,"Actr5","ACTR5"
6820,"Lta4h","LTA4H"
6821,"Aarsd1","AARSD1"
6828,"Nsun5","NSUN5"
6833,"Mlst8","MLST8"
6834,"Slc25a26","SLC25A26"
6835,"Pelo","PELO"
6836,"Atg3","ATG3"
6838,"Dus2","DUS2"
6843,"Cbwd1","CBWD1"
6848,"Mrps12","MRPS12"
6850,"Ddx51","DDX51"
6858,"Gnl2","GNL2"
6862,"Aifm2","AIFM2"
6867,"Exosc3","EXOSC3"
6870,"Wdr24","WDR24"
6872,"Gm9840","RBX1"
6875,"Trmt13","TRMT13"
6876,"Trmt11","TRMT11"
6879,"Usp6nl","USP6NL"
6885,"Rfc2","RFC2"
6886,"Trmt10a","TRMT10A"
6891,"Naa25","NAA25"
6899,"Ass1","ASS1"
6907,"Ears2","EARS2"
6908,"l7Rn6","C11orf73"
6910,"Dis3","DIS3"
6916,"Coq10b","COQ10B"
6920,"Alg6","ALG6"
6922,"Tsr3","TSR3"
6924,"Sirt6","SIRT6"
6927,"Xrn2","XRN2"
6931,"Alg8","ALG8"
6935,"Slc39a9","SLC39A9"
6937,"Tusc3","TUSC3"
6943,"Rpia","RPIA"
6945,"Rras2","RRAS2"
6947,"Scyl1","SCYL1"
6950,"Riok1","RIOK1"
6953,"Coq7","COQ7"
6957,"Slc25a15","SLC25A15"
6960,"Tpk1","TPK1"
6961,"Pno1","PNO1"
6971,"Mboat2","MBOAT2"
6973,"Psat1","PSAT1"
6980,"Noc2l","NOC2L"
6981,"Polr3b","POLR3B"
6988,"Slc25a21","SLC25A21"
6991,"Iscu","ISCU"
6992,"Grpel1","GRPEL1"
6997,"Fpgs","FPGS"
6998,"Pus7","PUS7"
7005,"Eif2b3","EIF2B3"
7006,"Gpn2","GPN2"
7010,"Trit1","TRIT1"
7012,"Pdcl3","PDCL3"
7014,"Tstd1","TSTD1"
7024,"Nop58","NOP58"
7033,"Polr1a","POLR1A"
7042,"Cry1","CRY1"
7047,"Dimt1","DIMT1"
7056,"Srp68","SRP68"
7060,"Alg5","ALG5"
7065,"Bms1","BMS1"
7068,"Tyw1","TYW1"
7069,"Gdpd1","GDPD1"
7082,"Tmem110","TMEM110-MUSTN1"
7083,"Lars","LARS"
7089,"Ipo11","IPO11"
7090,"Gtf2h4","GTF2H4"
7093,"Dars2","DARS2"
7094,"Napepld","NAPEPLD"
7096,"Romo1","ROMO1"
7097,"Yars2","YARS2"
7100,"Gtpbp4","GTPBP4"
7105,"Elp3","ELP3"
7109,"Pigc","PIGC"
7116,"Vps16","VPS16"
7118,"Iars2","IARS2"
7133,"Polr1b","POLR1B"
7135,"Eif6","EIF6"
7139,"Atp6v1h","ATP6V1H"
7140,"Tiprl","TIPRL"
7144,"Ndor1","NDOR1"
7150,"Txnl4a","TXNL4A"
7151,"Phf5a","PHF5A"
7155,"Cog4","COG4"
7157,"Psmd6","PSMD6"
7158,"Rbm19","RBM19"
7159,"Cdipt","CDIPT"
7160,"Mri1","MRI1"
7165,"Naa20","NAA20"
7178,"Polr2f","POLR2F"
7184,"Agrp","AGRP"
7186,"Psen1","PSEN1"
7187,"Grin1","GRIN1"
7189,"Trpa1","TRPA1"
7191,"Mon1a","MON1A"
7192,"Aaed1","AAED1"
7198,"Zfp236","ZNF236"
7199,"Ogfr","OGFR"
7203,"Phlda1","PHLDA1"
7206,"Cog2","COG2"
7207,"Mtf2","MTF2"
7208,"Casc3","CASC3"
7212,"Nono","NONO"
7213,"Tmed3","TMED3"
7214,"Padi2","PADI2"
7216,"Raly","RALY"
7217,"Rasa3","RASA3"
7219,"Shoc2","SHOC2"
7220,"Six6","SIX6"
7221,"Tardbp","TARDBP"
7229,"Alx4","ALX4"
7230,"Arnt2","ARNT2"
7231,"Art5","ART5"
7233,"Astn1","ASTN1"
7234,"Neurod4","NEUROD4"
7239,"Aup1","AUP1"
7240,"Bach2","BACH2"
7241,"Barx1","BARX1"
7242,"Bax","BAX"
7243,"Bcl6b","BCL6B"
7244,"Bcan","BCAN"
7245,"Bdnf","BDNF"
7246,"Sirpa","SIRPA"
7247,"Bmp4","BMP4"
7248,"Birc6","BIRC6"
7249,"C1qa","C1QA"
7252,"Capn6","CAPN6"
7253,"Capza3","CAPZA3"
7254,"Casp2","CASP2"
7255,"Cav3","CAV3"
7256,"Cbx2","CBX2"
7257,"Cbx5","CBX5"
7258,"Cckbr","CCKBR"
7259,"Ms4a1","MS4A1"
7260,"Cd5","CD5"
7262,"Cdr2","CDR2"
7266,"Vsx2","VSX2"
7271,"Ccr10","CCR10"
7273,"Cnr1","CNR1"
7274,"Cntn1","CNTN1"
7278,"Cpeb1","CPEB1"
7282,"Csf1","CSF1"
7288,"Dach1","DACH1"
7291,"Dll3","DLL3"
7292,"Dlx4","DLX4"
7293,"Dnajc1","DNAJC1"
7294,"Dnmt3a","DNMT3A"
7297,"Ebf1","EBF1"
7298,"Ect2","ECT2"
7299,"Eef2k","EEF2K"
7301,"Ehf","EHF"
7303,"Elf1","ELF1"
7308,"Etv2","ETV2"
7309,"Mpzl2","MPZL2"
7314,"Ptk2","PTK2"
7316,"Fgf7","FGF7"
7317,"Sh3pxd2a","SH3PXD2A"
7318,"Foxm1","FOXM1"
7321,"Flt4","FLT4"
7322,"Folr1","FOLR1"
7324,"Fst","FST"
7325,"Fzd4","FZD4"
7326,"G0s2","G0S2"
7327,"Gabrb2","GABRB2"
7329,"B4galnt2","B4GALNT2"
7336,"Gdf3","GDF3"
7337,"Arhgdig","ARHGDIG"
7338,"Gjb3","GJB3"
7339,"Gjb4","GJB4"
7343,"Gpam","GPAM"
7344,"Gpr27","GPR27"
7345,"Gpr33","GPR33"
7346,"Rhpn1","RHPN1"
7350,"Gtl3","C16orf80"
7351,"Thumpd3","THUMPD3"
7352,"Guca2a","GUCA2A"
7355,"Hdgfrp2","HDGFRP2"
7358,"Hes3","HES3"
7359,"Foxq1","FOXQ1"
7360,"Mst1","MST1"
7362,"Tfb2m","TFB2M"
7363,"Hlx","HLX"
7364,"Hn1","HN1"
7365,"Hoxa10","HOXA10"
7366,"Hoxb6","HOXB6"
7367,"Hoxb9","HOXB9"
7368,"Hoxd11","HOXD11"
7369,"Hoxd12","HOXD12"
7374,"Trmt2a","TRMT2A"
7378,"Il17ra","IL17RA"
7379,"Gimap1","GIMAP1"
7380,"Lrig1","LRIG1"
7381,"Inhbe","INHBE"
7385,"Irx3","IRX3"
7387,"Stt3b","STT3B"
7388,"Itm2b","ITM2B"
7389,"Cuzd1","CUZD1"
7390,"Junb","JUNB"
7391,"Kcnk4","KCNK4"
7392,"Kcnu1","KCNU1"
7396,"Klf3","KLF3"
7399,"Lgals1","LGALS1"
7401,"Lhx6","LHX6"
7405,"Ltbp3","LTBP3"
7406,"Ltc4s","LTC4S"
7409,"Tm4sf1","TM4SF1"
7410,"Amacr","AMACR"
7411,"Man2b2","MAN2B2"
7412,"Mc3r","MC3R"
7413,"Mcl1","MCL1"
7414,"Anapc1","ANAPC1"
7418,"Men1","MEN1"
7420,"Mesp2","MESP2"
7421,"Sypl2","SYPL2"
7424,"Mras","MRAS"
7425,"Meis3","MEIS3"
7427,"Laptm4a","LAPTM4A"
7428,"Mast2","MAST2"
7433,"Gadd45b","GADD45B"
7435,"Myt1l","MYT1L"
7436,"Nap1l2","NAP1L2"
7438,"Nbr1","NBR1"
7439,"Nedd1","NEDD1"
7440,"Nfyc","NFYC"
7442,"Map4k4","MAP4K4"
7444,"Nkx2-9","NKX2-8"
7447,"Zfml","ZNF638"
7450,"Nrtn","NRTN"
7451,"Nsg2","HMP19"
7452,"Ntsr2","NTSR2"
7454,"Nxph2","NXPH2"
7455,"Oaz1","OAZ1"
7456,"Odf1","ODF1"
7458,"Fxyd5","FXYD5"
7459,"Olfr15","OR2C1"
7460,"Olfr16","OR10J5"
7461,"Cntn3","CNTN3"
7464,"Pcp2","PCP2"
7470,"Pick1","PICK1"
7473,"Pkia","PKIA"
7474,"Pkib","PKIB"
7477,"Pla2g2c","PLA2G2C"
7481,"Plxna3","PLXNA3"
7482,"Pmp22","PMP22"
7483,"Ppp1r14b","PPP1R14B"
7485,"Ppargc1a","PPARGC1A"
7486,"Ppfibp2","PPFIBP2"
7488,"Ppt1","PPT1"
7490,"Prss12","PRSS12"
7494,"Ptdss1","PTDSS1"
7495,"Pter","PTER"
7496,"Ptgir","PTGIR"
7497,"Ptpn2","PTPN2"
7498,"Ptpn22","PTPN22"
7499,"Ptrf","PTRF"
7500,"Ptx3","PTX3"
7502,"Rab17","RAB17"
7503,"Rab23","RAB23"
7507,"Rag2","RAG2"
7508,"Rai1","RAI1"
7509,"Rasd1","RASD1"
7511,"Rbpj","RBPJ"
7512,"Rbpjl","RBPJL"
7514,"Rem1","REM1"
7515,"Reps1","REPS1"
7516,"Resp18","RESP18"
7517,"Ret","RET"
7521,"Rsu1","RSU1"
7522,"Rtkn","RTKN"
7523,"S100a13","S100A13"
7524,"Prrx2","PRRX2"
7525,"Nkx1-2","NKX1-2"
7526,"Scg3","SCG3"
7528,"Stmn3","STMN3"
7529,"Ccl22","CCL22"
7533,"Glg1","GLG1"
7534,"Sh3bp1","SH3BP1"
7536,"Shc3","SHC3"
7537,"Shd","SHD"
7539,"St3gal3","ST3GAL3"
7540,"St3gal1","ST3GAL1"
7543,"Slc4a1ap","SLC4A1AP"
7546,"Sox18","SOX18"
7548,"Strbp","STRBP"
7550,"Sephs2","SEPHS2"
7553,"Wnt8a","WNT8A"
7554,"Stra6","STRA6"
7557,"Swap70","SWAP70"
7559,"Syt4","SYT4"
7560,"Tac2","TAC3"
7561,"Taf6","TAF6"
7562,"Tarbp2","TARBP2"
7563,"Tcf7l1","TCF7L1"
7564,"Tcf7l2","TCF7L2"
7565,"Tcl1","TCL1A"
7567,"Phf1","PHF1"
7568,"Tectb","TECTB"
7569,"Adad1","ADAD1"
7570,"Terf1","TERF1"
7572,"Tgfb1i1","TGFB1I1"
7573,"Tsc22d1","TSC22D1"
7574,"Tgif1","TGIF1"
7575,"Tlx2","TLX2"
7582,"Ubr1","UBR1"
7583,"Axl","AXL"
7586,"Kdm6a","KDM6A"
7591,"Vamp2","VAMP2"
7592,"Vasp","VASP"
7593,"Vax1","VAX1"
7594,"Vcl","VCL"
7596,"Slc27a5","SLC27A5"
7597,"Nrsn1","NRSN1"
7598,"Vpreb3","VPREB3"
7601,"Zfp42","ZFP42"
7603,"Zfp57","ZFP57"
7604,"Zfp64","ZFP64"
7605,"Zbtb7b","ZBTB7B"
7606,"Zfpm1","ZFPM1"
7613,"Actl7a","ACTL7A"
7614,"Adam11","ADAM11"
7617,"Adnp","ADNP"
7621,"Agtrap","AGTRAP"
7623,"Aicda","AICDA"
7625,"Ambn","AMBN"
7626,"Apaf1","APAF1"
7628,"Nr2f2","NR2F2"
7629,"Aqr","AQR"
7630,"Arhgap6","ARHGAP6"
7631,"Artn","ARTN"
7632,"Neurod6","NEUROD6"
7633,"Neurog2","NEUROG2"
7635,"Atp2a1","ATP2A1"
7638,"Azi1","CEP131"
7639,"Bcl2l1","BCL2L1"
7640,"Bcl6","BCL6"
7642,"Ngfrap1","NGFRAP1"
7643,"Bcl2l11","BCL2L11"
7644,"Bmp10","BMP10"
7645,"Smyd1","SMYD1"
7649,"Cacybp","CACYBP"
7650,"Aspm","ASPM"
7651,"Capn7","CAPN7"
7652,"Cflar","CFLAR"
7657,"Casp8","CASP8"
7658,"Cast","CAST"
7659,"Rb1cc1","RB1CC1"
7660,"Ccne2","CCNE2"
7661,"Ccrn4l","CCRN4L"
7663,"Cd2ap","CD2AP"
7664,"Ift81","IFT81"
7665,"Celsr1","CELSR1"
7666,"Cideb","CIDEB"
7667,"Cish","CISH"
7670,"Cmas","CMAS"
7671,"Cnih2","CNIH2"
7672,"Cnp","CNP"
7673,"Col18a1","COL18A1"
7674,"Bcar1","BCAR1"
7677,"Csf3","CSF3"
7683,"Dcx","DCX"
7684,"Asap1","ASAP1"
7688,"Dgat1","DGAT1"
7689,"Dkk1","DKK1"
7699,"Edar","EDAR"
7703,"Pou6f1","POU6F1"
7706,"Nr2f6","NR2F6"
7707,"Samd9l","SAMD9L"
7710,"F7","F7"
7713,"Fem1a","FEM1A"
7714,"Fem1b","FEM1B"
7715,"Fgf8","FGF8"
7717,"Fjx1","FJX1"
7718,"Fkbp10","FKBP10"
7720,"Fkbp8","FKBP8"
7721,"Aktip","AKTIP"
7723,"Gabpb1","GABPB1"
7724,"Gal","GAL"
7728,"Gdap2","GDAP2"
7729,"Mrps33","MRPS33"
7731,"Ghrh","GHRH"
7732,"Gpr83","GPR83"
7733,"Gja10","GJA10"
7734,"Gjd2","GJD2"
7738,"Gngt1","GNGT1"
7740,"Gng8","GNG8"
7741,"Gnmt","GNMT"
7743,"Emb","EMB"
7744,"Gsc","GSC"
7745,"Gsg1","GSG1"
7747,"Gstz1","GSTZ1"
7748,"Gtf2i","GTF2I"
7749,"H13","HM13"
7751,"H2-Ea-ps","HLA-DRA"
7755,"Hes5","HES5"
7756,"Hey1","HEY1"
7762,"Foxa2","FOXA2"
7765,"Hoxa6","HOXA6"
7766,"Hoxa9","HOXA9"
7768,"Hoxb8","HOXB8"
7769,"Hoxc12","HOXC12"
7770,"Hoxc13","HOXC13"
7772,"Hoxd1","HOXD1"
7773,"Hoxd4","HOXD4"
7774,"Hp1bp3","HP1BP3"
7776,"Hyal2","HYAL2"
7777,"Ica1","ICA1"
7778,"Ier5","IER5"
7781,"Il18bp","IL18BP"
7782,"Ikbkb","IKBKB"
7783,"Il1r2","IL1R2"
7784,"Il4ra","IL4R"
7785,"Ilf3","ILF3"
7786,"Invs","INVS"
7789,"Ajuba","AJUBA"
7791,"Kcna7","KCNA7"
7793,"Kcnj12","KCNJ12"
7794,"Kcnk2","KCNK2"
7796,"Kif12","KIF12"
7799,"Kifap3","KIFAP3"
7800,"Kifc2","KIFC2"
7801,"Uhmk1","UHMK1"
7803,"Hivep3","HIVEP3"
7805,"Krt27","KRT27"
7809,"Lamp2","LAMP2"
7810,"Large","LARGE"
7811,"Lat","LAT"
7813,"Lef1","LEF1"
7814,"Lhx3","LHX3"
7816,"Lhx9","LHX9"
7818,"Lmnb2","LMNB2"
7819,"Lnx1","LNX1"
7820,"Zbtb7a","ZBTB7A"
7822,"Muc13","MUC13"
7823,"Cd93","CD93"
7824,"Mab21l2","MAB21L2"
7825,"Maff","MAFF"
7826,"Ccndbp1","CCNDBP1"
7827,"Mal","MAL"
7830,"Matr3","MATR3"
7832,"Cd46","CD46"
7836,"Mgl2","CLEC10A"
7836,"Clec10a","CLEC10A"
7837,"Mid1","MID1"
7838,"Bhlha15","BHLHA15"
7839,"Mlf1","MLF1"
7842,"Mnt","MNT"
7843,"Morc1","MORC1"
7844,"Clec4d","CLEC4D"
7845,"Mpl","MPL"
7846,"Meis2","MEIS2"
7850,"Map6","MAP6"
7856,"Myo1b","MYO1B"
7857,"Myod1","MYOD1"
7859,"Ncoa1","NCOA1"
7861,"Nfatc2","NFATC2"
7862,"Nfatc2ip","NFATC2IP"
7863,"Nfkbia","NFKBIA"
7865,"Notch2","NOTCH2"
7866,"Uhrf1","UHRF1"
7867,"Nppc","NPPC"
7868,"Nsg1","NSG1"
7869,"Ntan1","NTAN1"
7870,"Oit3","OIT3"
7874,"Otp","OTP"
7875,"Otx1","OTX1"
7878,"Cdk16","CDK16"
7879,"Pdcd4","PDCD4"
7880,"Pdcd6","PDCD6"
7881,"Padi1","PADI1"
7882,"Padi3","PADI3"
7883,"Padi4","PADI4"
7884,"Pea15a","PEA15"
7885,"Per2","PER2"
7886,"Per3","PER3"
7887,"Pfdn2","PFDN2"
7888,"Cdk14","CDK14"
7889,"Pik3r1","PIK3R1"
7892,"Pla2g2d","PLA2G2D"
7893,"Pld3","PLD3"
7895,"Bpifa1","BPIFA1"
7896,"Prrx1","PRRX1"
7898,"Pou2f3","POU2F3"
7899,"Pparg","PPARG"
7904,"Prnp","PRNP"
7906,"St14","ST14"
7908,"Ptgfrn","PTGFRN"
7909,"Ptpn13","PTPN13"
7915,"Pitpnm2","PITPNM2"
7917,"Rfx3","RFX3"
7918,"Rhd","RHCE"
7918,"Rhd","RHD"
7919,"Rnase1","RNASE1"
7920,"Rlim","RLIM"
7921,"Rph3a","RPH3A"
7922,"Mrpl23","LOC102724828"
7922,"Mrpl23","MRPL23"
7923,"Rxrb","RXRB"
7924,"S100a4","S100A4"
7925,"S100a6","S100A6"
7927,"Scn8a","SCN8A"
7929,"Ccl11","CCL11"
7931,"Sema6c","SEMA6C"
7934,"Shc1","SHC1"
7936,"Cyfip2","CYFIP2"
7937,"St6galnac1","ST6GALNAC1"
7938,"St6galnac3","ST6GALNAC3"
7939,"St6galnac4","ST6GALNAC4"
7940,"Sipa1","SIPA1"
7948,"Sox17","SOX17"
7949,"Sox7","SOX7"
7950,"Sox8","SOX8"
7951,"Spa17","SPA17"
7952,"Sp3","SP3"
7953,"Spic","SPIC"
7954,"Spink4","SPINK4"
7955,"Spint2","SPINT2"
7957,"Srms","SRMS"
7959,"Znrf4","ZNRF4"
7960,"Stat3","STAT3"
7962,"Plk4","PLK4"
7963,"Stxbp4","STXBP4"
7964,"Sycp3","SYCP3"
7965,"Sdc3","SDC3"
7966,"Tbx1","TBX1"
7967,"Tbx15","TBX15"
7968,"Tbx4","TBX4"
7969,"Mlx","MLX"
7970,"Ubtf","UBTF"
7971,"Gm3448","TCTE3"
7971,"Tcte3","TCTE3"
7971,"Gm3417","TCTE3"
7973,"Tekt1","TEKT1"
7975,"Tex264","TEX264"
7976,"Theg","THEG"
7977,"Myo18a","MYO18A"
7979,"Tnfsf12","TNFSF12"
7980,"Dedd","DEDD"
7981,"Traf3","TRAF3"
7982,"Trex1","TREX1"
7984,"Tsks","TSKS"
7985,"Tuft1","TUFT1"
7986,"Tyrobp","TYROBP"
7988,"Ube3a","UBE3A"
7990,"Uck1","UCK1"
7993,"Trpv2","TRPV2"
7995,"Wbp5","WBP5"
7997,"Wiz","WIZ"
7998,"Xirp1","XIRP1"
